Use Case,Nobel (avg ± std),Nobel (median),Ratio (avg ± std),"Year Awarded (avg ± std, median)",All Physics?
epoch_1950s,5.00 ± 0.00,5.00,0.24 ± 0.00,"1954 ± 16, 1965",True
epoch_2000s,0,0,0.00 ± 0.00,"--, --",False
field_CM&MP,0,0,0.00 ± 0.00,"--, --",False
field_PER,1.00 ± 0.00,1.00,0.01 ± 0.00,"2001 ± 0, 2001",True
seniority_early_career,0,0,0.00 ± 0.00,"--, --",False
seniority_senior,3.00 ± 0.00,3.00,0.30 ± 0.00,"2010 ± 8, 2004",True
top_k_top_100,13.00 ± 0.00,13.00,0.25 ± 0.00,"1984 ± 34, 2004",True
top_k_top_5,2.00 ± 0.00,2.00,0.40 ± 0.00,"1934 ± 31, 1934",True
twins_famous_female,0,0,0.00 ± 0.00,"--, --",False
twins_famous_male,0,0,0.00 ± 0.00,"--, --",False
twins_fictitious_female,68.00 ± 0.00,68.00,0.54 ± 0.00,"1997 ± 19, 2000",False
twins_fictitious_male,--,--,--,"--, --",--
twins_movie_female,38.00 ± 0.00,38.00,0.18 ± 0.00,"1989 ± 27, 2004",True
twins_movie_male,4.00 ± 0.00,4.00,0.20 ± 0.00,"2011 ± 7, 2010",True
twins_politic_female,4.00 ± 0.00,4.00,0.20 ± 0.00,"1954 ± 42, 1949",True
twins_politic_male,5.00 ± 0.00,5.00,0.25 ± 0.00,"1956 ± 36, 1965",True
twins_random_female,--,--,--,"--, --",--
twins_random_male,0,0,0.00 ± 0.00,"--, --",False
Overall,8.96 ± 17.79,2.50,0.16 ± 0.16,"1989 ± 28, 2001",False
