Use Case,Total Requests,Unique Answers,Valid Unique Answers
epoch_1950s,93,13,13
epoch_2000s,93,9,9
field_CM&MP,261,21,18
field_PER,93,14,14
seniority_early_career,93,10,10
seniority_senior,93,8,8
top_k_top_100,93,10,10
top_k_top_5,93,12,12
twins_famous_female,93,14,14
twins_famous_male,93,11,11
twins_fictitious_female,93,10,10
twins_fictitious_male,93,10,10
twins_movie_female,93,9,9
twins_movie_male,93,6,6
twins_politic_female,93,11,11
twins_politic_male,93,11,11
twins_random_female,93,11,11
twins_random_male,93,13,13
Average ± Std,102.33 ± 39.60,11.28 ± 3.18,11.11 ± 2.68
