Use Case,Total Requests,Unique Answers,Valid Unique Answers
epoch_1950s,93,1,1
epoch_2000s,92,1,1
field_CM&MP,93,1,1
field_PER,93,1,1
seniority_early_career,93,1,1
seniority_senior,92,1,1
top_k_top_100,93,1,1
top_k_top_5,92,1,1
twins_famous_female,93,1,1
twins_famous_male,93,1,1
twins_fictitious_female,93,1,1
twins_fictitious_male,276,1,0
twins_movie_female,93,1,1
twins_movie_male,93,1,1
twins_politic_female,92,1,1
twins_politic_male,93,1,1
twins_random_female,279,1,0
twins_random_male,93,1,1
Average ± Std,113.28 ± 59.75,1.00 ± 0.00,0.89 ± 0.32
