Use Case,Total Requests,Unique Answers,Valid Unique Answers
epoch_1950s,123,1,0
epoch_2000s,123,1,0
field_CM&MP,123,1,0
field_PER,41,1,1
seniority_early_career,123,1,0
seniority_senior,123,1,0
top_k_top_100,123,1,0
top_k_top_5,41,1,1
twins_famous_female,123,1,0
twins_famous_male,123,1,0
twins_fictitious_female,123,1,0
twins_fictitious_male,123,1,0
twins_movie_female,123,1,0
twins_movie_male,123,1,0
twins_politic_female,123,1,0
twins_politic_male,41,1,0
twins_random_female,123,1,0
twins_random_male,123,1,0
Average ± Std,109.33 ± 31.45,1.00 ± 0.00,0.11 ± 0.32
