Use Case,Total Requests,Unique Answers,Valid Unique Answers
epoch_1950s,41,3,3
epoch_2000s,123,1,0
field_CM&MP,41,1,1
field_PER,41,2,2
seniority_early_career,41,3,3
seniority_senior,100,3,1
top_k_top_100,123,3,0
top_k_top_5,41,3,3
twins_famous_female,41,3,3
twins_famous_male,84,3,2
twins_fictitious_female,41,2,2
twins_fictitious_male,41,2,2
twins_movie_female,41,2,2
twins_movie_male,41,2,2
twins_politic_female,41,2,2
twins_politic_male,41,3,3
twins_random_female,41,3,3
twins_random_male,41,2,2
Average ± Std,55.78 ± 29.55,2.39 ± 0.70,2.00 ± 0.97
