model name, size, reasoning, developer, developer_region, provider, provider_flaged, quantization, max tot context, max output 
deepseek/deepseek-chat-v3.1:free, Large, False,  deepseek, China, deepinfra/fp4, False, fp4, 163.8K, 163.8K
deepseek/deepseek-r1:free, Large, True, deepseek, China, chutes, True, , 163.8K, 163.8K
qwen/qwen3-235b-a22b:free, Large, True, qwen, China, venice/fp8, False, fp8, 131.1K, 131.1K
meta-llama/llama-3.3-70b-instruct:free, Large, False, meta, US, venice/fp8, False, fp8, 65.5K, 65.5K
meta-llama/llama-3.1-405b-instruct:free, ExtraLarge, False, meta, US, venice/fp8, False, fp8, 65.5K, 65.5K
mistralai/mistral-small-3.2-24b-instruct:free, Medium, False, mistral, EU, chutes, True, , 131.1K, 131.1K
openai/gpt-oss-20b:free, Medium, True, openai, US, atlas-cloud/fp8, False, fp8, 131.1K, 131.1K
google/gemma-3-27b-it:free, Medium, False, google, US, chutes, True, bf16, 96K, 8.2K
meta-llama/llama-3.3-8b-instruct:free, Small, False, meta, US, meta/fp8, False, fp8, 128K, 4K
qwen/qwen3-8b:free, Small, False, qwen, China, chutes, True, , 41K, 41K
